Day 56,
COMMON VERB + PREP Combinations,
VERB + 'in',
be engaged in,bir işle meşgul olmak
be involved in,"dahil olmak, kapsamına girmek"
believe in,inanmak
interfere in,"müdahale etmek, karışmak"
invest in,yatırım yapmak
participate in,katılım sağlamak
persist in,"sürmek, devam etmek"
specialize in,bir alanda uzmanlaşmak
succeed in,"başarmak, başarılı olmak"
take part in,katılım sağlamak
absorb in,"emmek, içine çekmek"
VERB + 'on',
agree on,üzerinde uzlaşmak
argue on,üzerinde tartışmak
be based on/upon,-e dayalı olmak
comment on,üzerine yorum yapmak
concentrate on,odaklanmak
depend on/upon,"güvenmek, bağlı olmak"
focus on,odaklanmak
insist on,ısrarcı olmak
rely on,"güvenmek, bel bağlamak"
spend on,harcamak
waste on,boşa harcamak
work on,üzerine çalışma yapmak
decide on,karar vermek
congratulate on,tebrik etmek
VERB + 'at',
aim at,"hedeflemek, amaçlamak"
bark at,havlamak
laugh at,gülmek
look at,bakmak
smile at,gülmek
stare at,gözlerini dikerek bakmak
VERB + 'of',
accuse of,suçlamak
approve of,onaylamak
be composed of,"-den oluşmak, içermek, kapsamak"
consist of,"-den oluşmak, içermek, kapsamak"
dream of,hayal etmek
hear of,"duymak, işitmek"
take advantage of,"yararlanmak, faydalanmak"
make use of,"yararlanmak, faydalanmak"
be made of,-den yapılmak
be proud of,gurur duymak
be tired of,-den yorulmak
be afraid of,korkmak
be aware of,farkında olmak
be capable of,yapabilmek
be envious of,kıskanmak
be fond of,düşkün olmak
be of,sahip olmak
VERB + 'for',
apologize for sth,(bir şey için) özür dilemek
apply for,başvurmak
ask for,"istemek, talep etmek"
beg for,yalvarmak
blame smb for sth,(birini bir şey ile) suçlamak
care for,"umursamak, ilgilenmek"
fight for,(bir şey için) savaşmak
long for,özlemek
mistake for,"karıştırmak, sanmak, zannetmek"
pay for,"ödeme yapmak, parasını ödemek"
provide sth for smb,(birisi için bir şey) sağlamak
remember for,(birini bir şey ile) hatırlamak
search for,aramak
substitute for,"yerine geçmek, yerini almak"
vote for,lehine oy kullanmak
wait for,"beklemek, yolunu gözlemek"
yearn for,"can atmak, çok istemek"
be famous for,"ünlü olmak, bilinmek"
stand for,"simgelemek, temsil etmek"
look for,aramak
arrest smb for,tutuklamak
pray for,dua etmek
VERB + 'about',
be concerned about,"endişelenmek, kaygılanmak"
be worried about,"endişelenmek, kaygılanmak"
be anxious about,"endişelenmek, kaygılanmak"
dream about,hayal etmek
hear about,"duymak, işitmek"
talk about,konuşmak
think about,düşünmek
forget about,unutmak
boast about,övünmek
complain about,şikayet etmek
VERB + 'with',
agree with smb,"hemfikir olmak, katılmak"
associate with,ilişkilendirmek
charge sb with sth,birini bir şey ile suçlamak
coincide with,"ile çakışmak, tesadüf etmek"
collide with,çarpışmak
compare with,bir şeyi bir şey ile kıyaslamak
compete with,"rekabet etmek, yarışmak"
confront with,"ile yüzleşmek, karşılaşmak"
face with,"ile yüzleşmek, karşılaşmak"
help with,yardımcı olmak
interfere with,"müdahale etmek, karışmak"
provide smb with sth,birisine bir şey sağlamak
cope with,"uğraşmak, başa çıkmak"
deal with,ilgilenmek
be satisfied with,memnun/tatmin olmak
be concerned with,ile ilgili olmak
be content with,ile yetinmek
be equipped with,ile donatmak
be familiar with,"aşina olmak, tanımak"
comply with,"uymak, itaat etmek"
be blessed with,ile kutsanmak
be annoyed with smb,kızmak
be angry with smb,kızmak
be involved with,"dahil olmak, ilgilenmek"
quarrel with smb,tartışmak
VERB + 'to',
adapt to,"ayak uydurmak, uyum sağlamak"
adjust to,"ayak uydurmak, uyum sağlamak"
apologize to smb,birisinden özür dilemek
attribute to,"-e bağlamak, atfetmek, yormak"
be exposed to,-e maruz kalmak
belong to,-e ait olmak
consent to,-e razı olmak
contribute to,"katkıda bulunmak, sebep olmak"
dedicate to,adamak
devote to,adamak
appeal to,"çekici gelmek, cezbetmek"
object to,"karşı çıkmak, itiraz etmek"
react to,"tepki vermek, yanıt vermek"
respond to,"yanıt vermek, cevap vermek"
subject to,maruz bırakmak
conform to,"uymak, itaat etmek"
stick to,"uymak, itaat etmek"
lead to,"neden olmak, -e yol açmak"
give rise to,"neden olmak, -e yol açmak"
refer to,"gönderme yapmak, atıfta bulunmak"
be addicted to,bağımlı olmak
tend to,eğiliminde olmak
consent to,razı olmak
resort to,-e başvurmak
add to,eklemek
confess to,itiraf etmek
adhere to,"yapışmak, bağlı olmak"
react to,-e tepki vermek
VERB + 'from',
arise from,-den kaynaklanmak
benefit from,"-den faydalanmak, yararlanmak"
derive from,-den türemek
deter from,"caymak, vazgeçmek"
differ from,"-den farklılık göstermek, farklı olmak"
distinguish from,ayırmak
emerge from,-den kaynaklanmak
expel from,"kovmak, atmak, ihraç etmek"
infer from,"çıkarım yapmak, sonuç çıkarmak"
originate from,"-den türemek, -den gelmek"
prevent from,"engellemek, önlemek"
recover from,"iyileşmek, kurtulmak"
resign from,görevinden istifa etmek
result from,-den kaynaklanmak
suffer from,"-den mustarip olmak, acı çekmek"
refrain from,-den kaçınmak
abstain from,-den kaçınmak
be made from,-den yapılmak
stem from,"-den doğmak, ortaya çıkmak"
prohibit from,-den yasaklamak
VERB + 'over',
agree over,üzerinde uzlaşmak
argue over,üzerinde tartışmak
be over,"bitmek, sona ermek"
check over,"incelemek, denetlemek"
spread over,yayılmak
VERB + 'into',
break into,"zorla girmek (hırsız, polis...)"
change sth into sth,bir şeyi bir şeye dönüştürmek
convert sth into sth,bir şeyi bir şeye dönüştürmek
penetrate into,"nüfuz etmek, içerisinden geçmek"
transform sth into sth,bir şeyi bir şeye dönüştürmek
turn sth into sth,bir şeyi bir şeye dönüştürmek
VERB + 'against',
vote against,aleyhine oy vermek
discriminate against,ayrımcılık yapmak
insure against,sigorta yapmak
warn against,uyarmak
struggle against,çabalamak
rebel against,isyan etmek
react against,tepki vermek
VERB + 'between',
distinguish between,ayırt etmek
choose between,seçim yapmak
VERB + 'out of',
develop out of,-den ortaya çıkmak
VERB + 'by',
abide by,"uymak, itaat etmek"
COMMON ADJ + PREP Combinations,
ADJ + 'in',
deficient in,"... bakımından eksik, yetersiz"
experienced in,"-de tecrübeli, deneyimli"
interested in,"ile ilgili, alakadar"
rich in,... bakımından zengin
ADJ + 'on',
dependent on,"-e bağımlı, bağlı"
